,MAX_DATA_TTM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360
1961-06-30,82,0.0228962,0.023125974,0.02348751,0.024008099,0.024657037,0.025497561,0.026397455,0.027204871,0.02786977,0.02837046,0.028761394,0.029050482,0.029289385,0.029512757,0.02973585,0.030000309,0.030285409,0.030598039,0.03090664,0.031212168,0.031519074,0.031804733,0.03208295,0.032335233,0.032574434,0.03281123,0.03303294,0.033255763,0.033463314,0.033668872,0.033860985,0.03404807,0.03423733,0.03441686,0.034596782,0.03476368,0.034922272,0.03507634,0.035215724,0.03534999,0.035468895,0.035579003,0.03567286,0.03575398,0.035825152,0.035883524,0.035934348,0.035976265,0.0360136,0.036049914,0.03608513,0.03612358,0.03616356,0.03620815,0.036254864,0.03630544,0.0363621,0.036421403,0.03648699,0.036554307,0.03662521,0.036702048,0.036779355,0.036861416,0.036942128,0.037026264,0.03710806,0.03718992,0.037274275,0.037355404,0.037438445,0.037517786,0.037595898,0.037675094,0.037750047,0.037825547,0.037896533,0.037967667,0.03803444,0.038099255,0.038164258,0.038225327,0.038286604,0.0383442,0.03840018,0.038456384,0.03850924,0.038562324,0.03861226,0.038662434,0.038709644,0.038755577,0.038801745,0.0388452,0.038888887,0.038930018,0.03897006,0.039010324,0.03904824,0.039086375,0.039122295,0.039158422,0.039192457,0.0392256,0.039258946,0.039290357,0.03932196,0.03935173,0.03938073,0.039409902,0.039437387,0.03946504,0.03949109,0.039517295,0.039541982,0.039566025,0.039590206,0.039612986,0.039635893,0.039657466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-31,81,0.020951878,0.021274183,0.021782903,0.022529269,0.02351336,0.02462505,0.025582938,0.026395494,0.027077982,0.0275903,0.027993295,0.028293855,0.028543683,0.028792197,0.029050142,0.029324288,0.029589867,0.029867806,0.03014304,0.030427542,0.0307321,0.03102745,0.03133059,0.03162701,0.031930853,0.03225577,0.032581065,0.03292127,0.033248287,0.033580203,0.033892557,0.03419347,0.03448876,0.03475203,0.03499658,0.03520665,0.03539081,0.03555701,0.035699427,0.035828616,0.03593684,0.036032762,0.036111526,0.036178365,0.036237445,0.036286518,0.036330923,0.036370333,0.036408577,0.036449134,0.036491238,0.03653867,0.036588993,0.03664619,0.036707126,0.03677406,0.03684991,0.036929574,0.03701823,0.037110224,0.037208382,0.03731586,0.03742485,0.037541736,0.037658256,0.037781578,0.037903205,0.03802657,0.03815538,0.038280863,0.038410936,0.03853679,0.038662255,0.038791098,0.03891466,0.039040834,0.0391612,0.039283585,0.039399892,0.039513927,0.0396292,0.039738104,0.039847862,0.03995148,0.04005263,0.04015465,0.040251043,0.040348314,0.040440265,0.040533103,0.04062091,0.04070677,0.04079352,0.04087562,0.040958606,0.04103718,0.0411141,0.0411919,0.041265603,0.04134018,0.04141086,0.041482404,0.041550238,0.04161673,0.04168407,0.041747946,0.041812662,0.041874073,0.04193432,0.041995384,0.042053357,0.042112134,0.042167954,0.042224567,0.042278346,0.042331155,0.04238474,0.042435665,0.042487346,0.04253647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-08-31,80,0.021270989,0.021856558,0.02278899,0.024164649,0.025686583,0.026981985,0.027906427,0.028582985,0.029082622,0.029435365,0.029721059,0.029961526,0.030202895,0.03047733,0.030751165,0.031030884,0.031298503,0.031572293,0.031835116,0.032096215,0.03236374,0.032623127,0.032896932,0.033171717,0.033458248,0.033766124,0.034070775,0.03438751,0.03469211,0.035001446,0.03529263,0.03557262,0.035844766,0.036089323,0.03632363,0.036533598,0.0367288,0.036916953,0.03708517,0.037243616,0.037381545,0.037507694,0.03761392,0.03770512,0.037784845,0.037849437,0.037904795,0.03794876,0.037984543,0.038014144,0.03803683,0.038055267,0.03806929,0.038080815,0.03808997,0.03809824,0.03810828,0.03812163,0.03814092,0.038166426,0.038199157,0.03824009,0.03828611,0.038339656,0.03839655,0.038459856,0.03852483,0.038592845,0.038665723,0.038738206,0.038814582,0.03888944,0.038964763,0.03904263,0.03911759,0.0391943,0.039267574,0.039342057,0.039412737,0.039481834,0.03955137,0.039616797,0.03968254,0.039744426,0.039804656,0.039865214,0.039922252,0.03997963,0.040033687,0.040088087,0.04013936,0.04018933,0.040239636,0.040287077,0.040334854,0.040379923,0.040423874,0.040468156,0.040509947,0.040552057,0.040591806,0.04063187,0.040669695,0.040706616,0.04074384,0.04077899,0.04081444,0.04084792,0.040880613,0.04091359,0.04094474,0.040976167,0.041005854,0.04103581,0.04106411,0.04109175,0.041119646,0.041146003,0.041172598,0.04119773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-09-29,79,0.02195229,0.022487419,0.023343455,0.024514405,0.02566707,0.026688261,0.027418615,0.02793286,0.02830586,0.028570909,0.02879999,0.0290369,0.02932791,0.02965972,0.029987954,0.030328233,0.030654635,0.030986475,0.03129852,0.031587224,0.031858806,0.0321062,0.03235545,0.032597568,0.032844465,0.033100862,0.03334731,0.033600193,0.0338433,0.034092706,0.03433108,0.034561265,0.03478655,0.03499126,0.035188183,0.03536603,0.035534184,0.03569627,0.035840098,0.035974808,0.036091384,0.036197755,0.03628774,0.036365632,0.03643454,0.03649154,0.0365419,0.036583666,0.03661968,0.03665167,0.036678255,0.03670184,0.036721468,0.036738984,0.036753997,0.036769096,0.0367869,0.036807884,0.036835004,0.036867063,0.03690443,0.03694816,0.036994893,0.03704705,0.037100647,0.037158627,0.03721669,0.037276156,0.037338566,0.037399422,0.03746232,0.037522785,0.037582457,0.037642892,0.037699975,0.03775746,0.037811603,0.037865985,0.037917063,0.037966587,0.03801614,0.038062584,0.038109064,0.038152635,0.038194872,0.038237154,0.038276806,0.03831651,0.03835375,0.038391043,0.03842602,0.03845994,0.038493916,0.038525786,0.038557705,0.03858765,0.038616687,0.03864577,0.038673047,0.038700365,0.038725987,0.03875164,0.038775694,0.03879901,0.038822353,0.03884423,0.038866125,0.03888664,0.03890651,0.03892639,0.038945004,0.038963612,0.038981035,0.038998444,0.039014727,0.039030477,0.039046198,0.039060894,0.039075553,0.039089244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-10-31,78,0.022395667,0.0228259,0.023512628,0.024479307,0.025495104,0.026389128,0.027052607,0.027557531,0.02795169,0.028251301,0.028531278,0.028807221,0.029077971,0.029349357,0.029606385,0.029868422,0.030121827,0.0303829,0.030617971,0.030835144,0.03105455,0.031273346,0.03151454,0.03176525,0.03202399,0.03229213,0.032549042,0.03280905,0.033054274,0.033299446,0.033520136,0.033720665,0.0339084,0.03407301,0.034230623,0.034377374,0.034518275,0.03465664,0.03478342,0.034907013,0.035020355,0.035132702,0.03523727,0.035338443,0.03544061,0.03553825,0.035638895,0.035736695,0.035834417,0.035934538,0.03602992,0.036126252,0.036216717,0.036306944,0.0363915,0.03647414,0.03655851,0.036640048,0.03672437,0.036805592,0.03688624,0.036968805,0.037047748,0.037128124,0.03720457,0.037281994,0.037355233,0.037426658,0.037498415,0.037565727,0.037632942,0.037695605,0.037755802,0.037815448,0.037870873,0.037925944,0.03797728,0.038028464,0.03807634,0.038122687,0.038169038,0.03821245,0.03825587,0.03829655,0.038335957,0.03837538,0.03841233,0.038449295,0.038483944,0.038518615,0.03855111,0.038582597,0.03861411,0.038643643,0.0386732,0.038700897,0.038727734,0.038754586,0.038779747,0.03880492,0.038828496,0.03885208,0.03887417,0.038895555,0.038916934,0.03893695,0.03895695,0.038975667,0.03899377,0.039011844,0.03902875,0.039045617,0.039061382,0.039077107,0.03909179,0.03910596,0.039120074,0.03913324,0.03914634,0.03915855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-11-30,77,0.025021022,0.025325328,0.025800256,0.026462272,0.027127737,0.02767619,0.028048597,0.028324055,0.028577298,0.028852299,0.02919177,0.02954288,0.029890219,0.03022503,0.030511886,0.030775297,0.031013317,0.031235827,0.031432092,0.031622987,0.031826418,0.03203923,0.032281622,0.032530367,0.03278553,0.033051256,0.033306636,0.03356646,0.03381159,0.03404873,0.034257576,0.034446474,0.03462136,0.0347748,0.03492276,0.035055086,0.03517624,0.035291158,0.035393808,0.035493072,0.035584707,0.035674993,0.03575904,0.035841845,0.035928108,0.03601404,0.036106702,0.03619971,0.03629519,0.03639569,0.036494046,0.036596153,0.03669475,0.036795452,0.036891647,0.036987264,0.037086137,0.037182108,0.03728131,0.037376765,0.03747129,0.03756784,0.037660062,0.037753988,0.037843455,0.03793431,0.038020607,0.038105212,0.038190767,0.03827168,0.038353253,0.038430158,0.038505033,0.038580287,0.03865109,0.038722184,0.038788997,0.038856003,0.038918924,0.038980022,0.03904131,0.0390989,0.03915669,0.039211016,0.039263822,0.039316848,0.039366715,0.03941681,0.039463934,0.039511286,0.039555848,0.03959921,0.039642796,0.03968383,0.039725084,0.03976393,0.03980175,0.039839786,0.03987561,0.039911643,0.03994559,0.039979737,0.04001191,0.040043246,0.040074773,0.04010448,0.040134367,0.040162534,0.04018997,0.040217575,0.04024359,0.040269762,0.040294427,0.04031924,0.040342625,0.040365398,0.04038831,0.040409897,0.040431608,0.04045206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-12-29,76,0.02680494,0.0271217,0.02761607,0.028266491,0.028826281,0.029243529,0.029511882,0.02971205,0.029922549,0.030172566,0.030475328,0.030792477,0.031102138,0.03139024,0.031636737,0.031872246,0.032077685,0.03226994,0.032449007,0.03263147,0.032834284,0.03305267,0.033297826,0.03354757,0.03380363,0.034069564,0.034325544,0.034587424,0.034832925,0.035074975,0.03529808,0.035510506,0.035720304,0.035915922,0.036108464,0.03628301,0.03644424,0.036595285,0.03672632,0.03684778,0.03695335,0.037051786,0.03713854,0.037218567,0.037295748,0.037366368,0.037435673,0.037499476,0.037560333,0.03762038,0.037675966,0.037730988,0.037782043,0.037833005,0.037881352,0.037929464,0.037979033,0.038026325,0.038073976,0.03811867,0.038162023,0.038205456,0.038246226,0.0382871,0.038325485,0.03836399,0.038400166,0.038435314,0.038470592,0.038503755,0.03853705,0.03856833,0.038598657,0.038628962,0.038657267,0.03868543,0.03871161,0.038737558,0.038761634,0.03878473,0.038807604,0.038828816,0.038849812,0.038869273,0.03888791,0.03890634,0.038923394,0.038940243,0.03895582,0.038971186,0.03898538,0.038998917,0.03901225,0.039024528,0.039036598,0.039047692,0.039058227,0.039068546,0.039077997,0.03908723,0.03909566,0.03910386,0.03911132,0.039118323,0.039125096,0.03913121,0.039137084,0.03914235,0.03914722,0.03915184,0.039155927,0.03915976,0.039163105,0.03916619,0.039168824,0.039171126,0.039173156,0.0391748,0.039176166,0.03917718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-31,75,0.026477138,0.026801303,0.02730542,0.028016293,0.028677352,0.029105725,0.029361201,0.029678285,0.030180449,0.030764593,0.03138277,0.031919833,0.032373603,0.032769088,0.033096123,0.033388976,0.033641715,0.03388481,0.03411277,0.034338184,0.034569424,0.034792252,0.035022113,0.035244636,0.03546757,0.035697505,0.03591783,0.036141537,0.036352452,0.03656273,0.0367572,0.036941472,0.03712,0.037280247,0.03743218,0.03756557,0.037685223,0.03779492,0.037888855,0.03797452,0.038047716,0.038114805,0.03817277,0.038225044,0.038274188,0.038317993,0.038360335,0.03839933,0.038437158,0.03847576,0.0385133,0.038552936,0.038593054,0.038637586,0.03868477,0.038736444,0.038794264,0.038853332,0.0389166,0.038979482,0.039043557,0.03911057,0.03917581,0.03924322,0.03930811,0.03937445,0.039437648,0.039499577,0.03956194,0.03962045,0.03967892,0.03973364,0.039786596,0.03983953,0.039889086,0.039938636,0.039985042,0.04003145,0.040074933,0.04011705,0.040159203,0.04019871,0.040238254,0.040275328,0.040311266,0.040347252,0.040381003,0.040414803,0.040446505,0.04047826,0.040508047,0.040536936,0.04056588,0.040593028,0.040620226,0.040645745,0.04067049,0.040695284,0.04071854,0.040741835,0.04076368,0.040785562,0.04080608,0.040825974,0.040845893,0.040864564,0.040883254,0.040900767,0.040917736,0.04093471,0.04095061,0.04096651,0.040981397,0.040996276,0.041010194,0.04102366,0.041037105,0.041049674,0.041062213,0.04107393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-28,113,0.026946891,0.027214788,0.027621482,0.028161725,0.028574057,0.028788723,0.02899416,0.02938577,0.029882817,0.030356526,0.03076613,0.031067323,0.031292845,0.03146184,0.031574816,0.031659875,0.031737093,0.031832557,0.031948835,0.03208857,0.032257076,0.03244084,0.032647308,0.03285911,0.033076975,0.03330042,0.033508208,0.033709712,0.033889916,0.034059137,0.03420706,0.034342077,0.034470595,0.03458642,0.03469911,0.03480295,0.03490296,0.035003375,0.03509862,0.035195306,0.035286844,0.035378978,0.035465453,0.035549026,0.03563206,0.03570897,0.03578473,0.035854306,0.035920087,0.035983976,0.03604178,0.036098767,0.036154028,0.03621403,0.036277782,0.03634961,0.03643161,0.036517136,0.036610946,0.036706157,0.03680495,0.03691006,0.037014015,0.037123073,0.0372296,0.03734011,0.037446935,0.037553143,0.037661757,0.03776535,0.037870493,0.037970085,0.03806726,0.038164847,0.038256276,0.038347565,0.038432937,0.03851821,0.038598,0.038675215,0.038752407,0.038824692,0.038896997,0.03896474,0.039030384,0.03909609,0.0391577,0.039219398,0.039277278,0.039335273,0.039389707,0.039442535,0.039495505,0.039545257,0.03959516,0.03964206,0.039687626,0.03973337,0.03977638,0.03981958,0.03986022,0.039901055,0.039939493,0.039976902,0.040014517,0.04004995,0.0400856,0.040119193,0.04015193,0.040184893,0.040215984,0.040247303,0.04027686,0.04030665,0.04033478,0.04036223,0.04038991,0.040416043,0.040442392,0.04046727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-03-30,112,0.027813587,0.027922243,0.028073346,0.028243558,0.0283222,0.028242856,0.028112287,0.028047085,0.028054068,0.028053707,0.028037105,0.02807954,0.02824695,0.028507384,0.02879958,0.029121574,0.029437633,0.029761178,0.030070014,0.030373763,0.030681733,0.03097384,0.031269275,0.031545427,0.031805124,0.032049894,0.03226197,0.032457445,0.032625526,0.032779813,0.032913174,0.03303329,0.033146147,0.033247225,0.033345833,0.033437423,0.03352632,0.033616304,0.03370199,0.033789046,0.03387178,0.03395567,0.034035265,0.034113243,0.034192093,0.03426674,0.03434217,0.034413535,0.03448333,0.03455383,0.03462138,0.03469235,0.034763888,0.0348428,0.034925755,0.0350144,0.035110608,0.03520732,0.035310168,0.03541179,0.03551479,0.03562201,0.03572593,0.035832893,0.035935473,0.03603998,0.036139198,0.036236096,0.03633353,0.036425196,0.03651719,0.036603577,0.03668736,0.036771197,0.036849715,0.03692826,0.037001863,0.037075527,0.037144586,0.03721154,0.0372786,0.03734151,0.03740454,0.0374637,0.03752111,0.037578665,0.03763271,0.03768691,0.037737824,0.037788898,0.037836887,0.037883513,0.037930306,0.037974287,0.03801844,0.038059954,0.038100306,0.038140826,0.038178936,0.038217213,0.038253214,0.03828938,0.038323402,0.038356498,0.038389746,0.03842103,0.038452465,0.038482048,0.038510825,0.03853975,0.038566966,0.03859432,0.038620062,0.038645934,0.038670283,0.03869397,0.038717765,0.038740158,0.038762648,0.038783804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
